band,aw,bbw,a0,a1
646,0.32832,0.000479476,0.3433705,0.070194245
647,0.33124,0.000476244,0.34507676,0.070482875
648,0.33416,0.000473013,0.34678302,0.070771504
649,0.33708,0.000469781,0.34848928,0.071060134
650,0.34,0.000466549,0.35019554,0.071348764
651,0.347,0.000463571,0.371273426,0.075495643
652,0.354,0.000460593,0.392351312,0.079642521
653,0.361,0.000457615,0.413429198,0.0837894
654,0.368,0.000454637,0.434507084,0.087936278
655,0.375,0.000451659,0.45558497,0.092083157
656,0.382,0.000448682,0.476662856,0.096230036
657,0.389,0.000445704,0.497740742,0.100376914
658,0.396,0.000442726,0.518818628,0.104523793
659,0.403,0.000439748,0.539896514,0.108670671
660,0.41,0.00043677,0.5609744,0.11281755
661,0.4129,0.000434023,0.589222562,0.117482867
662,0.4158,0.000431276,0.617470724,0.122148184
663,0.4187,0.000428529,0.645718886,0.126813501
664,0.4216,0.000425781,0.673967048,0.131478818
665,0.4245,0.000423034,0.70221521,0.136144135
666,0.4274,0.000420287,0.730463372,0.140809452
667,0.4303,0.00041754,0.758711534,0.145474769
668,0.4332,0.000414792,0.786959696,0.150140086
669,0.4361,0.000412045,0.815207858,0.154805403
670,0.439,0.000409298,0.84345602,0.15947072
671,0.4416,0.000406761,0.833962384,0.157407137
672,0.4442,0.000404223,0.824468748,0.155343554
673,0.4468,0.000401686,0.814975112,0.153279971
674,0.4494,0.000399148,0.805481476,0.151216388
675,0.452,0.000396611,0.79598784,0.149152805
676,0.4546,0.000394073,0.786494204,0.147089222
677,0.4572,0.000391536,0.777000568,0.145025639
678,0.4598,0.000388998,0.767506932,0.142962056
679,0.4624,0.000386461,0.758013296,0.140898473
680,0.465,0.000383923,0.74851966,0.13883489
681,0.4701,0.000381577,0.713667694,0.133069264
682,0.4752,0.00037923,0.678815728,0.127303638
683,0.4803,0.000376884,0.643963762,0.121538012
684,0.4854,0.000374537,0.609111796,0.115772386
685,0.4905,0.000372191,0.57425983,0.11000676
686,0.4956,0.000369844,0.539407864,0.104241134
687,0.5007,0.000367498,0.504555898,0.098475508
688,0.5058,0.000365151,0.469703932,0.092709882
689,0.5109,0.000362805,0.434851966,0.086944256
690,0.516,0.000360458,0.4,0.08117863
691,0.5268,0.000358286,0.375,0.076060767
692,0.5376,0.000356113,0.35,0.070942904
693,0.5484,0.000353941,0.325,0.065825041
694,0.5592,0.000351769,0.3,0.060707178
695,0.57,0.000349596,0.275,0.055589315
696,0.5808,0.000347424,0.25,0.050471452
697,0.5916,0.000345251,0.225,0.045353589
698,0.6024,0.000343079,0.2,0.040235726
699,0.6132,0.000340907,0.175,0.035117863
700,0.624,0.000338734,0.15,0.03
